   Time             I1                VP1               V3              
 8.035500000E-001  3.752296927E+000  3.721398981E+000  4.998515905E-001 
 8.035600000E-001  3.757926055E+000  3.721117358E+000  4.998515887E-001 
 8.035700000E-001  3.763416789E+000  3.720842624E+000  4.998515868E-001 
 8.035800000E-001  3.768747461E+000  3.720575863E+000  4.998515850E-001 
 8.035900000E-001  3.773897033E+000  3.720318128E+000  4.998515831E-001 
 8.036000000E-001  3.778845181E+000  3.720070435E+000  4.998515812E-001 
 8.036100000E-001  3.783572379E+000  3.719833764E+000  4.998515793E-001 
 8.036200000E-001  3.788059969E+000  3.719609047E+000  4.998515775E-001 
 8.036300000E-001  3.792290242E+000  3.719397172E+000  4.998515756E-001 
 8.036400000E-001  3.796246502E+000  3.719198974E+000  4.998515737E-001 
 8.036500000E-001  3.799913135E+000  3.719015236E+000  4.998515718E-001 
 8.036600000E-001  3.803275672E+000  3.718846683E+000  4.998515699E-001 
 8.036700000E-001  3.806320842E+000  3.718693981E+000  4.998515680E-001 
