   Time             Iac2              Iac1              Vac1              Vac2            
 8.002700000E-001 -3.757007150E-003  1.914296277E-003  3.982943243E+000  3.983183279E+000 
 8.002710000E-001 -3.762244294E-003  1.911192982E-003  3.982946260E+000  3.983180379E+000 
 8.002720000E-001 -3.769180967E-003  1.908048830E-003  3.982949270E+000  3.983177473E+000 
 8.002730000E-001 -3.777890889E-003  1.904867375E-003  3.982952274E+000  3.983174561E+000 
 8.002740000E-001 -3.788446001E-003  1.901648616E-003  3.982955272E+000  3.983171640E+000 
 8.002750000E-001 -3.800917803E-003  1.898389002E-003  3.982958264E+000  3.983168709E+000 
 8.002760000E-001 -3.815458616E-003  1.894749246E-003  3.982961250E+000  3.983165767E+000 
 8.002770000E-001 -3.830717077E-003  1.893127433E-003  3.982964230E+000  3.983162807E+000 
 8.002780000E-001 -3.845917362E-003  1.892979995E-003  3.982967208E+000  3.983159838E+000 
 8.002790000E-001 -3.861039932E-003  1.894747470E-003  3.982970187E+000  3.983156857E+000 
 8.002800000E-001 -3.876085675E-003  1.898337487E-003  3.982973167E+000  3.983153864E+000 
 8.002810000E-001 -3.891054146E-003  1.903668334E-003  3.982976151E+000  3.983150859E+000 
 8.002820000E-001 -3.905944013E-003  1.910645864E-003  3.982979139E+000  3.983147843E+000 
 8.002830000E-001 -3.920756164E-003  1.919186587E-003  3.982982134E+000  3.983144814E+000 
 8.002840000E-001 -3.935489268E-003  1.929199911E-003  3.982985136E+000  3.983141774E+000 
 8.002850000E-001 -3.950143768E-003  1.940595240E-003  3.982988147E+000  3.983138722E+000 
 8.002860000E-001 -3.964719220E-003  1.953285533E-003  3.982991169E+000  3.983135659E+000 
 8.002870000E-001 -3.979215180E-003  1.967178420E-003  3.982994202E+000  3.983132584E+000 
